,id,Z-SCORE
0,1001254,1.0210670429345412
1,1002102,-1.464878074283044
3,1002755,-0.7718267082708689
4,1003689,-1.269015731714386
5,1004098,-0.15410701247740824
7,1005202,1.307327389765657
8,1005754,1.1867967174157135
9,1006307,-1.0128880529707558
10,1006859,-0.9224900487082982
11,1007411,-0.0637090082149506
13,1008516,-0.1390406784336653
14,1009068,-1.4347454061955582
38,1022323,1.4127917280718576
41,1023980,-0.18423968056489412
42,1024533,-0.7718267082708689
44,1025637,0.6896076939721965
108,1060984,-0.10890801034617942
109,1061537,0.6444086918409676
110,1062089,-0.2897040188710947
111,1062641,-1.6908730849391882
112,1063194,0.40334734714108056
130,1073135,-0.5307653635709818
131,1073687,0.9156027046283406
132,1074240,-0.8923573806208124
133,1074792,1.5031897323343153
137,1077001,-1.6004750806767305
149,1083629,1.5333224004218011
150,1084181,-1.4046127381080724
151,1084733,0.9608017067595693
152,1085286,-0.36503568908980943
153,1085838,-1.5402097445017588
154,1086390,0.55401068757851
175,1097989,-0.72662770613964
176,1098541,1.593587736596773
177,1099093,0.11708700030996469
178,1099645,-1.3594137359768435
179,1100198,-0.6512960359209253
180,1100750,-0.07877534225869354
181,1101302,-1.5703424125892447
182,1101855,0.29788300883488
183,1102407,-0.5307653635709818
184,1102959,1.593587736596773
185,1103512,-0.9074237146645553
215,1120081,-0.5458316976147247
216,1120633,1.3977253940281147
217,1121185,-0.3198366869585806
221,1123394,-0.6964950380521541
222,1123947,0.5690770216222529
223,1124499,-1.5552760785455018
224,1125051,0.8553373684533688
225,1125604,0.5992096897097388
226,1126156,-1.3292810678893576
227,1126708,-1.6306077487642165
228,1127260,-1.1635513934081854
229,1127813,-1.721005753026674
230,1128365,0.08695433222247881
231,1128917,-0.34996935504606647
232,1129470,1.7291847429904594
233,1130022,-0.10890801034617942
234,1130574,-1.1936840614956712
235,1131127,0.7498730301471682
236,1131679,1.2771947216781712
237,1132231,1.5031897323343153
243,1135545,-0.09384167630243648
244,1136097,1.352526391896886
245,1136650,0.9909343748470553
246,1137202,-1.6456740828079595
256,1142725,1.6237204046842588
275,1153219,1.5031897323343153
276,1153771,-0.7718267082708689
278,1154875,0.6745413599284535
279,1155428,1.1415977152844847
297,1165369,-0.24450501673986588
298,1165921,-0.30477035291483767
299,1166474,-0.033576340127464716
300,1167026,-1.3443474019331005
301,1167578,-1.705939418982931
